performed_on,recorded_on,cts_field,batch_id,batch_name,cultivar_id,cultivar_name,growth_stage_id,growth_stage_name,work_order_id,work_order,work_order_type_id,work_order_type,work_order_opened_at,work_order_closed_at,total
2021-09-08 22:41:22.954086 +00:00,2021-09-08 22:41:20.000000 +00:00,WO - INPUT,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,569,Vegetative,14973,Advance Growth Stage for Blue Lime Pi 9 07/20/21,852,Advance Growth Stage,2021-09-08 22:41:20.000000 +00:00,2021-09-08 22:41:20.000000 +00:00,342
2021-09-08 22:42:57.585355 +00:00,2021-09-08 22:42:55.000000 +00:00,WO - INPUT,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,662,Flowering,14975,Advance Growth Stage for Blue Lime Pi 9 07/20/21,852,Advance Growth Stage,2021-09-08 22:42:55.000000 +00:00,2021-09-08 22:42:55.000000 +00:00,342
2021-09-08 22:43:21.038610 +00:00,2021-09-08 22:43:20.000000 +00:00,WO - INPUT,15528,Black Wine Trials 06/30/21,7866,NN6,569,Vegetative,14976,Advance Growth Stage for Black Wine Trials 06/30/21,852,Advance Growth Stage,2021-09-08 22:43:20.000000 +00:00,2021-09-08 22:43:20.000000 +00:00,9
2021-09-08 22:44:41.472804 +00:00,2021-09-08 22:44:38.000000 +00:00,WO - INPUT,15529,Black Hammer Trials 06/30/21,7865,NN5,569,Vegetative,14977,Advance Growth Stage for Black Hammer Trials 06/30/21,852,Advance Growth Stage,2021-09-08 22:44:38.000000 +00:00,2021-09-08 22:44:38.000000 +00:00,9
2021-09-08 22:45:15.672439 +00:00,2021-09-08 22:45:14.000000 +00:00,WO - INPUT,15530,Black Do-Lato Trials 06/30/21,7864,NN4,569,Vegetative,14978,Advance Growth Stage for Black Do-Lato Trials 06/30/21,852,Advance Growth Stage,2021-09-08 22:45:14.000000 +00:00,2021-09-08 22:45:14.000000 +00:00,17
2021-09-08 22:46:12.052629 +00:00,2021-09-08 22:46:09.000000 +00:00,WO - INPUT,15531,Soul Magic Trials 06/30/21,7863,NN3,569,Vegetative,14979,Advance Growth Stage for Soul Magic Trials 06/30/21,852,Advance Growth Stage,2021-09-08 22:46:09.000000 +00:00,2021-09-08 22:46:09.000000 +00:00,5
2021-09-08 22:46:42.020637 +00:00,2021-09-08 22:46:40.000000 +00:00,WO - INPUT,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,569,Vegetative,14980,Advance Growth Stage for Sour Apple Truffle Trial 06/30/21,852,Advance Growth Stage,2021-09-08 22:46:40.000000 +00:00,2021-09-08 22:46:40.000000 +00:00,9
2021-09-08 22:47:04.768148 +00:00,2021-09-08 22:47:03.000000 +00:00,WO - INPUT,15533,Shaq Fu Trial 06/30/21,7861,NN1,569,Vegetative,14981,Advance Growth Stage for Shaq Fu Trial 06/30/21,852,Advance Growth Stage,2021-09-08 22:47:03.000000 +00:00,2021-09-08 22:47:03.000000 +00:00,10
2021-09-08 22:47:30.442286 +00:00,2021-09-08 22:47:29.000000 +00:00,WO - INPUT,15534,Space Cake Trials 07/06/21,7869,Space Cake,569,Vegetative,14982,Advance Growth Stage for  Space Cake Trials 07/06/21,852,Advance Growth Stage,2021-09-08 22:47:29.000000 +00:00,2021-09-08 22:47:29.000000 +00:00,20
2021-09-21 22:15:11.441490 +00:00,2021-09-21 22:15:07.000000 +00:00,WO - INPUT,16037,Mango Merengue 08/26/21,7907,Mango Merengue,569,Vegetative,16014,Advance Growth Stage for Mango Merengue 08/26/21,852,Advance Growth Stage,2021-09-21 22:15:07.000000 +00:00,2021-09-21 22:15:07.000000 +00:00,504
